soc_code,demand_growth_index,direction,narrative
15-1252,97.4,Expanding,"BLS projects national employment for Software Developers to be expanding at +15.8% over 2024-34, with 115.2k average annual openings. Demand Growth Index: 97/100."
17-2071,71.6,Stable,"BLS projects national employment for Electrical Engineers to be stable at +7.2% over 2024-34, with 11.7k average annual openings. Demand Growth Index: 72/100."
19-4031,61.1,Stable,"BLS projects national employment for Chemical Technicians to be stable at +3.7% over 2024-34, with 6.7k average annual openings. Demand Growth Index: 61/100."
