soc_code,composite_ai_exposure,exposure_band,agreement_note,narrative
15-1252,0.599,Moderate,"Sources diverge: Anthropic (usage-based) indicates Low exposure while OECD (capability-based) indicates High exposure. Caveat: this SOC's OECD score is a PROXY (borrowed from an adjacent occupation), not a direct measurement.","Software Developers: composite AI exposure 0.60 (Moderate). Anthropic observed usage-based exposure is 0.29; OECD capability-gap exposure is 0.91. Sources diverge: Anthropic (usage-based) indicates Low exposure while OECD (capability-based) indicates High exposure. Caveat: this SOC's OECD score is a PROXY (borrowed from an adjacent occupation), not a direct measurement."
17-2071,0.4495,Moderate,Sources diverge: Anthropic (usage-based) indicates Low exposure while OECD (capability-based) indicates High exposure.,Electrical Engineers: composite AI exposure 0.45 (Moderate). Anthropic observed usage-based exposure is 0.06; OECD capability-gap exposure is 0.84. Sources diverge: Anthropic (usage-based) indicates Low exposure while OECD (capability-based) indicates High exposure.
19-4031,0.6074,High,Sources diverge: Anthropic (usage-based) indicates Low exposure while OECD (capability-based) indicates High exposure.,Chemical Technicians: composite AI exposure 0.61 (High). Anthropic observed usage-based exposure is 0.31; OECD capability-gap exposure is 0.90. Sources diverge: Anthropic (usage-based) indicates Low exposure while OECD (capability-based) indicates High exposure.
